id,title,link,content,date,category,sentiment_score,source_id,sentiment_label
83,UOB: Niềm tin kinh doanh tại Việt Nam phục hồi mạnh,https://vnexpress.net/uob-niem-tin-kinh-doanh-tai-viet-nam-phuc-hoi-manh-5088651.html,,,General,0.0,1,Neutral
150,"Tổng Bí thư, Chủ tịch nước Tô Lâm tiếp quyền Bộ trưởng Hải quân Mỹ Hùng Cao",https://vnexpress.net/tong-bi-thu-chu-tich-nuoc-to-lam-tiep-quyen-bo-truong-hai-quan-my-hung-cao-5088646.html,,,General,0.0,1,Neutral
155,Thủ tướng Anh nghẹn ngào tuyên bố từ chức,https://vnexpress.net/thu-tuong-anh-nghen-ngao-tuyen-bo-tu-chuc-5088541.html,,,General,0.0,1,Neutral
156,"Giam lỏng người thân để trừ tà, 3 chị em ruột bị phạt tù",https://vnexpress.net/giam-long-nguoi-than-de-tru-ta-3-chi-em-ruot-bi-phat-tu-5088645.html,,,General,0.0,1,Neutral
159,Châu Âu oằn mình dưới nắng nóng hơn 40°C,https://vnexpress.net/chau-au-oan-minh-duoi-nang-nong-hon-40-c-5088637.html,,,General,0.0,1,Neutral
160,Cựu chủ tịch Fed Alan Greenspan qua đời ở tuổi 100,https://vnexpress.net/cuu-chu-tich-fed-alan-greenspan-qua-doi-o-tuoi-100-5088640.html,,,General,0.0,1,Neutral
163,Tiền đạo Áo từng từ bỏ gần 30 triệu USD vì trầm cảm,https://vnexpress.net/tien-dao-ao-tung-tu-bo-gan-30-trieu-usd-vi-tram-cam-5088341.html,,,General,0.0,1,Neutral
164,Lầu Năm Góc 'tốn 40 tỷ USD vì chiến sự Iran',https://vnexpress.net/lau-nam-goc-ton-40-ty-usd-vi-chien-su-iran-5088520.html,,,General,0.0,1,Neutral
1,"Tổng Bí thư, Chủ tịch nước: Chuyển từ sắp xếp bộ máy sang vận hành hiệu quả",https://vnexpress.net/tong-bi-thu-chu-tich-nuoc-chuyen-tu-sap-xep-bo-may-sang-van-hanh-hieu-qua-5081279.html,,,General,,1,Neutral
2,Kinh tế mèo và con người cô độc,https://vnexpress.net/kinh-te-meo-va-con-nguoi-co-doc-5080505.html,,,General,,1,Neutral
40,Hơn 70.000 người sẽ dự lễ tuyên chân phước linh mục Trương Bửu Diệp,https://vnexpress.net/hon-70-000-nguoi-se-du-le-tuyen-chan-phuoc-linh-muc-truong-buu-diep-5088464.html,,,General,,1,Neutral
41,SK Hynix vượt Samsung Electronics thành công ty giá trị nhất Hàn Quốc,https://vnexpress.net/sk-hynix-vuot-samsung-electronics-thanh-cong-ty-gia-tri-nhat-han-quoc-5088572.html,,,General,,1,Neutral
42,"Cựu cán bộ ngân hàng bị cáo buộc gian dối, lừa hơn 17 tỷ đồng",https://vnexpress.net/cuu-can-bo-ngan-hang-bi-cao-buoc-gian-doi-lua-hon-17-ty-dong-5088506.html,,,General,,1,Neutral
43,VN-Index tăng mạnh nhất hai tháng,https://vnexpress.net/vn-index-tang-manh-nhat-hai-thang-5088528.html,,,General,,1,Neutral
44,TP HCM xây 6 tòa nhà xã hội tại phường Long Trường,https://vnexpress.net/tp-hcm-xay-6-toa-nha-xa-hoi-tai-phuong-long-truong-5088430.html,,,General,,1,Neutral
45,Lao động đổ về công trường sân bay Long Thành,https://vnexpress.net/lao-dong-do-ve-cong-truong-san-bay-long-thanh-5088460.html,,,General,,1,Neutral
46,Nổ nhà máy khí đốt Qatar,https://vnexpress.net/no-nha-may-khi-dot-qatar-5088545.html,,,General,,1,Neutral
47,"Hà Nội khởi công 5 tuyến metro hơn 1,3 triệu tỷ đồng",https://vnexpress.net/ha-noi-khoi-cong-5-tuyen-metro-hon-1-3-trieu-ty-dong-5088352.html,,,General,,1,Neutral
48,Khách bất ngờ giá vé máy bay hạ nhiệt dù cao điểm du lịch hè,https://vnexpress.net/khach-bat-ngo-gia-ve-may-bay-ha-nhiet-du-cao-diem-du-lich-he-5086643.html,,,General,,1,Neutral
49,Yamal: 'Tôi thấy mình giỏi hơn nhiều so với những gì người ta nghĩ',https://vnexpress.net/yamal-toi-thay-minh-gioi-hon-nhieu-so-voi-nhung-gi-nguoi-ta-nghi-5088299.html,,,General,,1,Neutral
