id,title,link,content,date,category,sentiment_score,source_id,sentiment_label
5,Lộ diện thay đổi của Argentina tại bán kết World Cup 2026,https://vnexpress.net/lo-dien-thay-doi-cua-argentina-tai-ban-ket-world-cup-2026-5097718.html,,,General,0.65,1,Positive
24,Deschamps trách trọng tài sau khi thua bán kết World Cup 2026,https://vnexpress.net/deschamps-trach-trong-tai-sau-khi-thua-ban-ket-world-cup-2026-5097531.html,,,General,0.65,1,Positive
23,Loạt dự án chống ngập Hà Nội tăng tốc về đích,https://vnexpress.net/loat-du-an-chong-ngap-ha-noi-tang-toc-ve-dich-5097497.html,,,General,0.65,1,Positive
69,World Cup 2026 - siêu sự kiện thể thao giúp FIFA thu chục tỷ USD,https://vnexpress.net/world-cup-2026-sieu-su-kien-the-thao-giup-fifa-thu-chuc-ty-usd-5099769.html,"World Cup 2026 dự kiến mang về cho FIFA hơn 10 tỷ USD, trở thành sự kiện thể thao đầu tiên trong lịch sử vượt mốc doanh thu kỷ lục này. Năm 2022, FIFA ghi nhận gần 5,8 tỷ USD doanh thu khi khép lại kỳ World Cup tại Qatar. Khi đó, FIFA gọi đây là ""một thành tựu tài chính chưa từng có. Mọi nguồn thu từ thương mại, bán vé, bản quyền truyền hình đều tăng vọt"". Chính cơ quan quản lý bóng đá thế giới khi đó cũng khó hình dung kỷ lục doanh thu mới tại World Cup 2026 có thể lên đến 11 chữ số. ""Gấp đôi Qatar"" là cách mà Chủ tịch FIFA Gianni Infantino công khai dự báo về doanh thu của World Cup 2026. Đây cũng dự kiến trở thành sự kiện thể thao đầu tiên trong lịch sử tạo ra doanh thu vượt mốc 10 tỷ USD. Theo The Athletic , không sự kiện thể thao nào hiện nay có thể tạo ra giá trị bằng World Cup. Trước đây, thế vận hội mùa hè Olympic thường là sự kiện lớn nhất để so sánh. Tuy nhiên, Olympic diễn ra ở Paris (Pháp) cách đây 2 năm cũng chỉ có doanh thu hơn 5 tỷ USD. Trong lĩnh vực bóng đá, Euro 2024 ghi nhận mức thu 2,9 tỷ USD. Thời gian diễn ra giải đấu kéo dài 5 tuần là cơ hội để FIFA khai thác ""mảnh đất màu mỡ"" Bắc Mỹ. Canada và Mexico cùng tham gia đăng cai, nhưng World Cup 2026 chủ yếu diễn ra tại Mỹ, với 78 trong tổng số 104 trận. Thậm chí, từ vòng 1/8 trở đi, toàn bộ trận đấu đều được tổ chức ở xứ cờ hoa - cơ hội vàng để FIFA kiếm tiền. Bên cạnh hiệu quả gia tăng từ bán vé và dịch vụ cao cấp (hospitality), kỳ World Cup với 75% trận trên đất Mỹ còn mang lại những lợi ích rõ ràng về thương mại. ""Một số thị trường như Nga và Qatar rất khó khai thác thương mại. Còn World Cup tại Mỹ đều được các thương hiệu nhắm đến ngay từ đầu"", một lãnh đạo cấp cao am hiểu hoạt động thương mại của FIFA nói. Đây là kỳ World Cup đầu tiên FIFA đổi mới cấu trúc thương mại, chia nhà tài trợ thành ba cấp: toàn cầu, theo giải đấu và quốc gia. Danh mục đối tác của FIFA gồm các tập đoàn toàn cầu, tài trợ cho toàn bộ sự kiện, nhà tài trợ riêng cho từng giải đấu và các đơn vị được hiện diện theo từng quốc gia. Sân MetLife diễn ra trận chung kết World Cup 2026. Ảnh: FIFA Các đối tác thương mại chính thức của FIFA như Adidas, Coca-Cola, Visa, Aramco và Hyundai thường chi 80-100 triệu USD mỗi năm cho các hợp đồng dài hạn. Tại kỳ World Cup này, FIFA cũng đón thêm loạt nhà tài trợ mới, trong đó có Bank of America hay McDonald’s trả tới 100 triệu USD để gắn thương hiệu cùng giải đấu. 14 doanh nghiệp cũng đồng hành với gói tài trợ thấp hơn, trong đó có Home Depot và American Airlines, với các hợp đồng khoảng 40 triệu USD. ""Họ không muốn thị trường sân nhà của mình được đại diện bởi đối thủ, hoặc mang lại lợi ích cho doanh nghiệp nước khác"", Phil Carling, Giám đốc điều hành mảng bóng đá tại Octagon nhận định. Theo Carling, nhiều thương hiệu vốn không quan tâm đến bóng đá nhưng vì giải đấu diễn ra tại Mỹ, trùng dịp 250 năm quốc khánh nước này, nên họ thấy cần phải đồng hành cùng World Cup. FIFA đã bán gần như hết quỹ tài trợ và kỳ vọng mang về doanh thu cao nhất từ trước đến nay với một sự kiện thể thao đơn lẻ. Ampere Analysis dự báo con số này có thể lên tới 2,4 tỷ USD, tăng 37% so với World Cup 2022. Để tạo nên một giải đấu thành công, lượng người theo dõi vẫn là yếu tố then chốt. Khoảng hơn 6 triệu khán giả đã trực tiếp đến sân theo dõi 104 trận đấu ở World Cup. Doanh thu bán vé và dịch vụ được dự báo ở mức 3 tỷ USD - cao gấp hơn 3 lần World Cup 2022. Giới phân tích đều nhận định giá vé đã được đẩy lên mức cao chưa từng có tại Bắc Mỹ - một thị trường vốn quen thuộc với việc chi khoản tiền lớn cho các sự kiện thể thao. Do FIFA áp dụng cơ chế định giá linh hoạt, việc tính toán giá vé trung bình tại World Cup năm nay rất khó. Tuy nhiên, trong một đơn khiếu nại gửi Ủy ban châu Âu tháng trước, nhóm vận động Football Supporters Europe cho biết một người hâm mộ khuyết tật muốn theo dõi đội tuyển của mình từ trận đầu tiên đến chung kết phải trả ít nhất 6.900 USD cho tiền vé - cao gấp 5 lần so với World Cup ở Qatar. Riêng trận chung kết hôm 19/7 trên sân MetLife, giá vé cao nhất lên đến 10.990 USD. Mức giá này gấp 7 lần vé hạng cao nhất của trận chung kết 4 năm trước. FIFA cũng ước tính khoảng 6 tỷ người theo dõi giải đấu năm nay trên toàn cầu. Con số này có thể khó đo lường chính xác, nhưng dữ liệu từ các nhà đài vẫn cho thấy World Cup có sức hút bền bỉ và đang tiếp tục được mở rộng. World Cup giúp ""đánh thức"" một số thị trường truyền hình trước đây không coi bóng đá là môn thể thao chủ đạo. Tại Mỹ, trận đấu giữa quốc gia này và Bỉ ở vòng 16 đội đã thu hút kỷ lục 30 triệu người xem trên kênh Fox. Ở Canada, Bell Media ghi nhận trung bình 5,4 triệu người xem trận Canada thua Morocco. Đây cũng được cho là trận đấu của tuyển Canada có lượng người xem qua truyền hình cao nhất lịch sử. Còn tại châu Âu, những quốc gia như Bồ Đào Nha và Na Uy, lượng khán giả xem giải đấu tương đương gần một nửa dân số. Điều này cũng giúp FIFA có thể ghi nhận doanh thu kỷ lục 5,2 tỷ USD từ bản quyền truyền hình cho chu kỳ kinh doanh 2023-2026. Trong đó, World Cup 2026 được dự báo đóng góp tới 3,9-4,3 tỷ USD. Tại hai giải đấu trước ở Nga và Qatar, doanh thu bán bản quyền phát sóng lần lượt đạt 3,1 tỷ và 3,4 tỷ USD. Quyết định gây tranh cãi của FIFA về việc tăng số đội tham dự từ 32 lên 48 đóng vai trò quan trọng cho mức tăng trưởng doanh thu bản quyền truyền hình. Điều này giúp tổng số trận đấu ở World Cup tăng từ 64 lên 104, đồng nghĩa với việc FIFA có nhiều nội dung hơn để các nhà đài khai thác. Ở chiều ngược lại, tổ chức này đã chi 7,6 tỷ USD để tổ chức các giải đấu trong 4 năm qua. Trong đó, khoảng một nửa được dành để đầu tư cho World Cup 2026 với gần 3,8 tỷ USD. Chi phí vận hành giải đấu chiếm 30% - hơn 1,12 tỷ USD. Tiền thưởng và chương trình phúc lợi cho các đội tham dự giải đấu cũng ngốn phần lớn trong tổng chi phí của FIFA với hơn 1 tỷ USD, tương ứng 26%. Doanh thu ước tính từ tài trợ, bản quyền truyền hình của World Cup 2026 so với các giải trước. Nguồn: The Guardian Tú Anh (theo The Athletic/The Guardian/Sportspro)",2026-07-21,Technology,0.65,1,Positive
58,"Lãi suất cho vay bình quân lên 10,5% một năm",https://vnexpress.net/lai-suat-cho-vay-binh-quan-len-10-5-mot-nam-5100137.html,"Nhóm ngân hàng thương mại nhà nước và tư nhân giải ngân các khoản vay trong tháng 6 với lãi suất bình quân 8,1-10,5% một năm. Theo số liệu Ngân hàng Nhà nước mới công bố, lãi suất cho vay bình quân trong tháng 6 tăng 0,4 điểm phần trăm so với tháng trước đó. Đây là giai đoạn các ngân hàng điều chỉnh lãi suất mạnh nhất trong một năm qua. Hiện có gần 10 ngân hàng cho vay với lãi suất thực tế trên 10,5% một năm, tùy khách hàng, mức độ rủi ro, năng lực tài chính và tài sản đảm bảo. Tại TPBank, lãi suất bình quân áp dụng cho cá nhân là 10,95%, còn OCB 10,78% và BVBank 10,45%. Một số nhà băng công bố lãi suất cho vay bình quân theo kỳ hạn. Điển hình như SeABank giải ngân các khoản vay ngắn hạn cho cá nhân với lãi suất 10,18%, còn trung dài hạn 10,44%. Mức này tại HDBank lần lượt là 8,5% và 10,4%. Theo Ngân hàng Nhà nước, lãi suất cho vay ngắn hạn với các lĩnh vực ưu tiên như xuất khẩu, nông nghiệp, công nghiệp hỗ trợ, doanh nghiệp vừa và nhỏ, ứng dụng công nghệ cao... duy trì 3,9% một năm. Mức này gần tiệm cận trần lãi suất cho vay ngắn hạn theo quy định là 4%. Đồng thuận với xu hướng biến động lãi suất cho vay, các ngân hàng đều nâng mặt bằng lãi suất tiền gửi ở hầu hết kỳ hạn. Các khoản tiết kiệm 6-12 tháng được trả lãi bình quân 6,1-7,6%; còn trên 24 tháng dao động 7,1-7,8%, đều tăng 0,2 điểm so với tháng trước đó. Đây cũng là mức cao nhất một năm qua. Các ngân hàng đang giữ chênh lệch lãi suất huy động và cho vay bình quân khoảng 3-4%, nhích nhẹ so với đầu năm. Phần lớn chuyên gia và nhóm phân tích nghiêng về khả năng mặt bằng lãi suất còn neo cao trong những tháng tới. Trong báo cáo triển vọng đầu tư mới phát hành, nhóm phân tích Công ty Chứng khoán Rồng Việt (VDSC) nhận định điều này xuất phát từ việc hệ thống đang thiếu thanh khoản. Việc tính thêm lượng tiền gửi Kho bạc Nhà nước vào tỷ lệ dư nợ cho vay trên tổng tiền gửi (LDR) và nới tỷ lệ vốn ngắn hạn cho vay trung dài hạn giúp hạ nhiệt phần nào áp lực, song chưa đủ giải quyết triệt để vấn đề. Nói với VnExpress đầu tháng này, ông Trần Văn Tánh, Trưởng phòng phân tích Khách hàng tổ chức của Công ty Chứng khoán Yuanta Việt Nam, cho rằng Ngân hàng Nhà nước chủ trương hạ nhiệt lãi suất cho vay để hỗ trợ nền kinh tế, nhưng chi phí huy động neo ở mức cao nên các ngân hàng thương mại không có nhiều dư địa để giảm lãi. Một trong những trở ngại với việc giảm lãi suất là mục tiêu ổn định tỷ giá được đặt lên trước. Theo VDSC, khi chính sách tiền tệ của các ngân hàng trung ương lớn (Mỹ, Nhật, EU) vẫn thận trọng và có phần thắt chặt, Ngân hàng Nhà nước có thể sẽ cần duy trì mức chênh lệch lãi suất USD/VND đủ hấp dẫn để giữ dòng tiền ngoại tệ trong hệ thống. Dù vậy, nhóm phân tích này cho rằng kịch bản giảm lãi vẫn có khả năng xảy ra trong giai đoạn cuối năm. Mức độ và tốc độ có thể vừa phải do hệ thống cần thời gian cân đối lại nhằm điều chỉnh dần chi phí vốn khi đầu vào đã tăng cao trong 6 tháng đầu năm. Chuyên gia của Ngân hàng United Overseas Bank (UOB), ngân hàng có trụ sở tại Singapore, cho rằng ""kịch bản hợp lý nhất là Ngân hàng Nhà nước tiếp tục giữ nguyên lãi suất trong nửa cuối năm"". Theo nhóm này, việc tăng lãi suất điều hành sẽ khó phát huy hiệu quả với lạm phát xuất phát từ phía cung, chẳng hạn như giá năng lượng hay chi phí nhập khẩu đầu vào. Ngược lại, việc cắt giảm lãi suất cũng khó có cơ sở khi lạm phát vẫn ở gần ngưỡng mục tiêu điều hành. Lạm phát cơ bản tăng 4,12% trong nửa đầu năm, còn mục tiêu của Ngân hàng Nhà nước là kiểm soát lạm phát bình quân cả năm khoảng 4,5%. Phương Đông",2026-07-22,Technology,0.65,1,Positive
64,'Nhiều doanh nghiệp nhà nước giữ hàng nghìn tỷ nhưng khó tăng trưởng',https://vnexpress.net/nhieu-doanh-nghiep-nha-nuoc-giu-hang-nghin-ty-nhung-kho-tang-truong-5100028.html,"Nhiều doanh nghiệp nhà nước có khối tài sản hàng nghìn tỷ đồng, nhưng khó tăng trưởng do vướng cơ chế quản trị, thiếu quyền tự quyết vốn, theo chuyên gia. Tại hội thảo về tái cơ cấu doanh nghiệp Nhà nước ngày 21/7, ông Bùi Khắc Hiền, Phó vụ trưởng Kế hoạch - Tài chính (Bộ Nông nghiệp và Môi trường), nêu thực tế Nhà nước giao vốn và tài sản cho doanh nghiệp, nhưng không được coi là tài sản thực sự để họ chủ động khai thác. Theo ông, nhiều doanh nghiệp đang nắm trong tay khối tài sản trị giá hàng nghìn tỷ đồng nhưng khó tăng trưởng vì không có quyền tự quyết. Họ cũng không được chủ động sử dụng các nguồn lực này cho sản xuất, kinh doanh. ""Nếu coi đất đai, cơ sở hạ tầng là vốn thì phải cho doanh nghiệp quyền kinh doanh. Còn chỉ giao quản lý, khai thác thì không thể tính là vốn để yêu cầu họ tăng trưởng"", ông Hiền nói. Đồng thời, ông cho rằng không thể chỉ đổ lỗi cho doanh nghiệp khi chính cơ chế quản lý và quản trị bó buộc họ. Ông đề nghị làm rõ vai trò của các bộ, ngành trong quản lý doanh nghiệp nhà nước, là thực hiện quyền chủ sở hữu hay chỉ tham gia xây dựng chính sách, kế hoạch. Ông Bùi Khắc Hiền, Phó vụ trưởng Kế hoạch - Tài chính (Bộ Nông nghiệp và Môi trường), phát biểu tại tọa đàm, ngày 21/7. Ảnh: Báo Tiền Phong Bất cập trong quản trị cũng là một trong những lý do khiến việc sắp xếp, tái cơ cấu doanh nghiệp nhà nước vẫn ""nghẽn"" nhiều năm qua. Tính đến cuối 2025, cả nước còn 695 doanh nghiệp nhà nước, trong đó Nhà nước giữ 100% vốn tại 497 doanh nghiệp và chi phối ở 198 đơn vị. Khối doanh nghiệp này sở hữu khoảng 4,5 triệu tỷ đồng tài sản, doanh thu gần 2,9 triệu tỷ đồng và đóng góp ngân sách khoảng 390.000 tỷ đồng, tăng đáng kể so với năm 2021. Tuy nhiên, quá trình cổ phần hóa, thoái vốn 5 năm qua không đạt mục tiêu. Đến hết 2025, mới có gần 30% doanh nghiệp nhà nước xong đề án cơ cấu lại. Cũng trong giai đoạn này, chưa có doanh nghiệp nào hoàn tất cổ phần hóa, và chỉ 17 trong số 146 doanh nghiệp thực hiện thoái vốn. Tổng số thu từ cổ phần hóa và thoái vốn đạt khoảng 3.720 tỷ đồng. Theo ông Nguyễn Tuấn Linh, đại diện Cục Phát triển Doanh nghiệp Nhà nước (Bộ Tài chính), cơ cấu lại doanh nghiệp nhà nước còn nhiều hạn chế do phân cấp chưa đủ mạnh, thủ tục đầu tư phức tạp. Chưa kể, công tác chuẩn bị thiếu hiệu quả cùng tâm lý né tránh trách nhiệm của một bộ phận người đứng đầu doanh nghiệp và cơ quan đại diện chủ sở hữu. Ông Nguyễn Đức Hiển, Phó trưởng Ban Chính sách, Chiến lược Trung ương, cho rằng Nghị quyết 79 của Bộ Chính trị đặt ra yêu cầu đổi mới tư duy tái cơ cấu doanh nghiệp nhà nước. Trong đó, trọng tâm không còn là sắp xếp hay giảm số lượng doanh nghiệp mà cần nâng cao năng lực quản trị để các đơn vị này giữ vai trò dẫn dắt các lĩnh vực then chốt. Việt Nam đặt mục tiêu 100% doanh nghiệp nhà nước áp dụng các tiêu chuẩn quản trị của Tổ chức Hợp tác và Phát triển Kinh tế (OECD) đến 2030. Vì vậy, theo ông Hiển, Việt Nam cần thay đổi cơ chế đánh giá hiệu quả, chuyển từ dựa vào chỉ tiêu tài chính hàng năm sang nhìn nhận tổng thể để doanh nghiệp yên tâm đầu tư, rót vốn vào lĩnh vực đổi mới sáng tạo, khoa học công nghệ. Cùng với đó, nhà điều hành cần tính toán để thành lập Quỹ đầu tư quốc gia nhằm xử lý các doanh nghiệp yếu kém và thực hiện các dự án đầu tư chiến lược hiệu quả hơn. Việc tái cơ cấu Tổng công ty Đầu tư và Kinh doanh vốn nhà nước (SCIC) cũng cần được đẩy nhanh. ""Muốn có năng lực tự chủ chiến lược, phải có những doanh nghiệp đủ mạnh. Doanh nghiệp vừa và nhỏ cũng chỉ có thể phát triển khi có các đơn vị đầu tàu dẫn dắt"", ông nói. Đồng quan điểm, ông Phan Đức Hiếu, Ủy viên là ĐBQH hoạt động chuyên trách tại Ủy ban Kinh tế và Tài chính của Quốc hội, cho rằng tái cơ cấu doanh nghiệp Nhà nước không đơn thuần là sáp nhập, giải thể hay thoái vốn mà phải hướng tới mục tiêu nâng cao hiệu quả hoạt động và sức cạnh tranh. Theo ông, trước mắt cần xử lý dứt điểm các tồn đọng về tài chính, đất đai và nghĩa vụ pháp lý - những ""nút thắt"" kéo dài nhiều năm khiến quá trình cổ phần hóa và chuyển giao doanh nghiệp bị đình trệ. Ví dụ, nhiều doanh nghiệp vẫn tồn tại tình trạng vốn điều lệ chỉ ghi trên giấy, chưa được cấp đủ vốn thực tế, hay nhiều tài sản, dự án chưa xác định đầy đủ giá trị khi chuyển giao. ""Việc sắp xếp doanh nghiệp, thoái vốn cần chuyển từ tư duy hành chính sang cơ chế thị trường, nâng chất lượng quản trị theo thông lệ quốc tế"", ông Hiếu nói. GS. TS Hoàng Văn Cường, nguyên Phó hiệu trưởng Đại học Kinh tế Quốc dân, cũng đề xuất tách bạch chức năng quản lý nhà nước với chức năng đầu tư, quản lý vốn. Theo ông, cơ quan quản lý nên tập trung hoạch định chính sách, còn việc đầu tư và quản lý vốn cần giao cho các tổ chức chuyên trách hoạt động theo cơ chế thị trường. Điều này sẽ tạo nền tảng để doanh nghiệp nâng hiệu quả hoạt động, dẫn dắt và tăng sức cạnh tranh của nền kinh tế. Phương Dung",2026-07-21,Technology,0.65,1,Positive
31,'Hệ sinh thái cờ bạc' Fi88 - KingGroup hơn 30.000 thành viên bị triệt phá,https://vnexpress.net/he-sinh-thai-co-bac-fi88-kinggroup-hon-30-000-thanh-vien-bi-triet-pha-5097773.html,,,General,0.65,1,Positive
30,Sở Xây dựng Hà Nội: 'Nước dâng 30 cm và quá 30 phút mới gọi là ngập úng',https://vnexpress.net/so-xay-dung-ha-noi-nuoc-dang-30-cm-va-qua-30-phut-moi-goi-la-ngap-ung-5097729.html,,,General,0.65,1,Positive
77,Cây xăng bị phạt 40 triệu đồng vì tự ý tăng giá,https://vnexpress.net/cay-xang-bi-phat-40-trieu-dong-vi-tu-y-tang-gia-5100024.html,"Nghệ An Tự ý điều chỉnh giá bán lẻ xăng dầu không đúng thời điểm thương nhân phân phối quy định, cây xăng Thanh Bình ở xã Đức Châu bị phạt 40 triệu đồng. Ngày 21/7, Chi cục Quản lý thị trường tỉnh Nghệ An cho biết xử phạt hành chính đối với Doanh nghiệp tư nhân Xăng dầu Thanh Bình, theo Nghị định 80/2023 của Chính phủ. Trước đó, ngày 10/7, Đội Quản lý thị trường số 1 phối hợp với Công an xã Đức Châu kiểm tra cửa hàng xăng dầu Thanh Bình tại xóm Đông Hà, xã Đức Châu (trước đây thuộc huyện Diễn Châu). Lực lượng chức năng phát hiện cửa hàng niêm yết và bán xăng E10 RON 95-III với giá 23.999 đồng một lít. Mức này cao hơn giá do thương nhân phân phối - Chi nhánh Công ty TNHH Xăng dầu Giang Nam tại Hà Tĩnh, công bố ở cùng thời điểm. Nhà chức trách xác định cây xăng Thanh Bình đã vi phạm liên tục từ ngày 26/6 đến ngày 10/7, với tổng số hàng tiêu thụ là 733 lít, số tiền thu lợi bất hợp pháp gần 2,5 triệu đồng. Lực lượng chức năng kiểm tra cây xăng Thanh Bình, ngày 10/7. Ảnh: Đình Ngọc Từ cuối tháng 2, xăng dầu trong nước biến động do ảnh hưởng xung đột Trung Đông, song hiện đã ổn định hơn dù vẫn tiềm ẩn rủi ro khó lường. Từ đầu tháng 6 đến nay, giá bán lẻ xăng dầu trong nước đã có 8 lần được điều chỉnh. Sau kỳ điều hành hôm 16/7, mỗi lít xăng E10 RON 95-III là 20.550 đồng, rẻ hơn khoảng 1.750 đồng so với đầu tháng 6. Với mức điều chỉnh này, Bộ Công Thương cho biết, giá bán lẻ xăng tại Việt Nam hiện thấp hơn khoảng 4.800-22.000 đồng so với Campuchia, Thái Lan, Trung Quốc và Lào. Còn dầu diesel cũng thấp hơn 2.900-10.600 đồng so với các quốc gia này. Đức Hùng",2026-07-21,Business,0.65,1,Positive
81,World Cup khó vực dậy ngành bia,https://vnexpress.net/world-cup-kho-vuc-day-nganh-bia-5099640.html,"Tiêu thụ tăng tại các điểm đăng cai World Cup nhưng giải đấu khó đảo ngược đà suy giảm chung của ngành bia toàn cầu. Ngay ngày đầu tiên người hâm mộ Scotland đổ về Boston (Mỹ) để xem World Cup, Boston Beer Company phải thực hiện hai chuyến giao bia khẩn cấp tới quán Sam Adams Boston Taproom. ""Có thời điểm chúng tôi rót một cốc Sam Adams Boston Lager mỗi 12 giây. Họ thật sự là những vị khách tuyệt vời"", ông Jim Koch, Nhà sáng lập kiêm CEO Boston Beer Company - hãng sản xuất bia Samuel Adams, kể lại. World Cup 2026 thu hút hàng triệu người hâm mộ khắp nơi trên thế giới đến cổ vũ đội tuyển quốc gia, mang lại cú hích cho ngành bia Mỹ. Tại Philadelphia, nơi diễn ra 6 trận đấu, khán giả đã uống tổng cộng 290.000 cốc bia tại các sân vận động, theo FIFA. Viện Bia Mỹ cho biết trong 4 tuần đầu của giải đấu, doanh số bia tại các quán bar, nhà hàng, sân vận động và các địa điểm khác ở các thành phố đăng cai tăng 14% so với cùng kỳ 2025. Cổ động viên Anh phản ứng sau khi Argentina ghi bàn gỡ hòa trong lúc xem trực tiếp trận bán kết World Cup 2026 giữa Anh và Argentina, tại sân vận động Camp and Furnace ở Liverpool, ngày 15/7. Ảnh: AFP Trước đó, các hãng bia cũng đầu tư mạnh cho giải đấu năm nay. AB InBev, sở hữu Budweiser và Michelob Ultra, là nhà tài trợ bia chính thức của World Cup. Công ty đã tiếp thị và tổ chức khoảng 200.000 buổi xem bóng đá tập thể tại 40 quốc gia. Hay hãng bia Molson Coors trụ sở tại Chicago tăng 60% ngân sách tiếp thị trong tháng 6 và 7 so với năm ngoái, đồng thời giới thiệu phiên bản quả bóng đá đặc biệt có thể chứa 12 lon Miller Lite. Dù vậy, giải bóng đá lớn nhất hành tinh cũng chỉ kích cầu tiêu thụ bia vào những ngày diễn ra thi đấu và tại các thành phố đăng cai. Theo Viện Bia Mỹ, doanh số toàn quốc trong 4 tuần World Cup chỉ tăng 4%. Ngay cả trước khi mùa giải kết thúc, tiêu thụ bia tại một số thị trường đã đi xuống. Morgan Stanley ước tính World Cup giúp sản lượng tiêu thụ bia toàn cầu cả năm tăng 17 điểm cơ bản (0,17 điểm phần trăm), thấp hơn dự báo trước đó là 24 điểm cơ bản. Nguyên nhân chủ yếu bởi đội tuyển của các thị trường tiêu thụ lớn như Brazil, Đức và Colombia bị loại sớm hơn dự kiến. Ngân hàng này cũng cảnh báo các hãng bia có thể phải điều chỉnh sản lượng trong quý III để phù hợp với nhu cầu thực tế. Nguy cơ phải điều chỉnh tồn kho được đánh giá cao nhất tại Brazil, Đức, Bồ Đào Nha và Hà Lan. Về thương hiệu, Carlsberg được đánh giá hưởng lợi hàng đầu, nhờ các đội tuyển thuộc những thị trường quan trọng của hãng như Anh, Pháp, Thụy Sĩ và Na Uy tiến sâu. Heineken và Royal Unibrew nhìn chung không thay đổi nhiều, do ảnh hưởng tích cực và tiêu cực tại thị trường bù trừ nhau. Trong khi đó, cổ phiếu của AB InBev và Constellation Brands - công ty nắm quyền phân phối các thương hiệu Corona và Modelo tại Mỹ, đồng loạt giảm sau khi đội tuyển Mexico và Brazil bị loại. Bà Maybell Romero, Giáo sư luật tại Đại học Tulane, cảm nhận rõ bầu không khí thay đổi tại Mexico City sau khi đội Mexico bị loại. ""Cả thành phố như rơi vào trạng thái trầm lắng và mọi người cũng ít ra ngoài hơn"", bà kể. Theo AP , không rõ liệu World Cup có thể đảo ngược xu hướng thị trường bia đi xuống không, dù giải đấu được đăng cai bởi 3 quốc gia với 16 thành phố chủ nhà. Morgan Stanley ước tính doanh số bia tại Mỹ chỉ tăng 2,2% trong suốt mùa. Những năm gần đây, doanh số bia đang chật vật trên toàn cầu. Hiệp hội Các nhà sản xuất bia Mỹ cho biết tiêu thụ bia đã giảm liên tục suốt thập kỷ qua. Canada ghi nhận xu hướng tương tự, theo cơ quan thống kê quốc gia. Hiệp hội các nhà sản xuất bia châu Âu (Brewers of Europe) cho biết tình hình cũng không khác. Nhiều người tiêu dùng cắt giảm rượu bia với lý do sức khỏe. Năm ngoái, lần đầu tiên trong khảo sát của Gallup, 53% người Mỹ cho rằng việc uống ""một hoặc hai ly mỗi ngày"" có hại cho sức khỏe. Doanh số bia không cồn tăng trưởng nhưng hiện mới chỉ chiếm khoảng 1% thị trường, theo Viện Bia Mỹ. Lo ngại về kinh tế cũng ảnh hưởng đến doanh số. Công ty nghiên cứu thị trường đồ uống IWSR cho biết lượng tiêu thụ đồ uống có cồn nói chung tại Mỹ đã giảm 5% năm ngoái, với một phần nguyên nhân là áp lực chi phí sinh hoạt. Ngoài ra, ông Craig Purser, Chủ tịch kiêm CEO Hiệp hội Các nhà phân phối bia quốc gia Mỹ, cho rằng điện thoại thông minh và Netflix cũng đã khiến mọi người ít tụ tập uống bia hơn. ""Nếu mọi người ngày càng thu mình và ít dành thời gian cho nhau, điều đó chắc chắn sẽ ảnh hưởng đến lượng bia tiêu thụ"", ông nói. Ngành bia vẫn nuôi hy vọng. Hồi tháng 5, Hiệp hội Thể thao Đại học Quốc gia Mỹ (NCAA) đã chấm dứt lệnh cấm quảng cáo đồ uống có cồn trong giải bóng rổ March Madness. Từ mùa giải tới, các hãng bia, rượu vang, rượu mạnh sẽ lần đầu được phép tài trợ cho giải đấu. CEO Boston Beer Company Jim Koch cũng không quá lo lắng. Ông nói rằng bia đã đồng hành cùng xã hội và nền văn minh nhân loại suốt 10.000 năm. ""Bia sẽ luôn là một phần giúp con người tận hưởng cuộc sống và khoảng thời gian chúng ta có trên Trái Đất"", ông tuyên bố. Phiên An ( theo AP, CNBC )",2026-07-20,Technology,0.65,1,Positive
